Predicate,Count
organization-name,4177863
hasActivityStatus,4177823
hasPermId,4177805
type,4177805
HeadquartersAddress,3879292
isDomiciledIn,3641258
isIncorporatedIn,2348633
hasHeadquartersPhoneNumber,1130829
RegisteredAddress,1115709
hasURL,859572
hasLatestOrganizationFoundedDate,799255
hasHeadquartersFaxNumber,616895
hasPrimaryBusinessSector,463213
hasPrimaryEconomicSector,463213
hasPrimaryIndustryGroup,463213
hasRegisteredPhoneNumber,423875
hasRegisteredFaxNumber,337221
hasLEI,232035
hasPrimaryInstrument,188931
hasOrganizationPrimaryQuote,170460
hasInactiveDate,146785
hasHoldingClassification,123023
hasIPODate,97980
